filename,xmin,ymin,xmax,ymax,center_x,center_y,width,height
datasets/train/frame312_jpg.rf.0ec9f36b4607734de0c111bfc1aa1b5d.jpg,218,89,500,611,359.0,350.0,282,522
datasets/train/frame304_jpg.rf.0a7aa589b657a7ed9d16dbfaece1c467.jpg,270,132,570,640,420.0,386.0,300,508
datasets/train/frame369_jpg.rf.0b7212539280592a6d786c101957bc4f.jpg,141,246,329,578,235.0,412.0,188,332
datasets/train/frame334_jpg.rf.039d3cb63526fd2ac76c9978acf6eb8a.jpg,247,6,530,460,388.5,233.0,283,454
datasets/train/frame518_jpg.rf.0bfad89c4c99bb0ae761613fd700fc7f.jpg,162,126,384,537,273.0,331.5,222,411
datasets/train/frame306_jpg.rf.11d0709b7e4c199880ccce2f572598c1.jpg,261,127,545,640,403.0,383.5,284,513
datasets/train/frame1_jpg.rf.0902ef9db866e72560ade5d6e0e34153.jpg,310,38,506,486,408.0,262.0,196,448
datasets/train/frame550_jpg.rf.0f28492f2db9f83a6cb8a6abe69f93f6.jpg,90,70,405,632,247.5,351.0,315,562
datasets/train/frame251_jpg.rf.07c8b061546ba06e634ef72bb80268e0.jpg,318,0,559,397,438.5,198.5,241,397
datasets/train/frame414_jpg.rf.0b8a714374398ff8f1bf05ec5820c624.jpg,88,59,226,315,157.0,187.0,138,256
datasets/train/frame325_jpg.rf.09534bd48f2f89b9700060c14792009f.jpg,232,0,504,483,368.0,241.5,272,483
datasets/train/frame392_jpg.rf.0cfc3d3cd28817a2730e776909c1015b.jpg,162,421,340,640,251.0,530.5,178,219
datasets/train/frame3_jpg.rf.060514729912c42ac6bf5b160d3c22e0.jpg,295,25,509,446,402.0,235.5,214,421
datasets/train/frame399_jpg.rf.186213ca5cfed66d3fd85b83365f8a3b.jpg,99,394,250,640,174.5,517.0,151,246
datasets/train/frame373_jpg.rf.16a3aca292e2395f80f0a96998b444b2.jpg,138,174,322,486,230.0,330.0,184,312
datasets/train/frame53_jpg.rf.16e6930b73581cd6050916e25ac994e9.jpg,284,125,444,495,364.0,310.0,160,370
datasets/train/frame519_jpg.rf.06d6c3b90a69ff1bd4e6fe7912414daa.jpg,163,113,373,524,268.0,318.5,210,411
datasets/train/frame635_jpg.rf.13f9d1bb3843df457250a3eda8868ab0.jpg,299,249,454,512,376.5,380.5,155,263
datasets/train/frame13_jpg.rf.0fb45fd379080ff988da404f80403f6a.jpg,281,0,481,398,381.0,199.0,200,398
datasets/train/frame331_jpg.rf.108c715b75e569a92156a11f4f756cea.jpg,237,0,511,441,374.0,220.5,274,441
datasets/train/frame418_jpg.rf.08e46a89948dcf24e7671b9a04533b9d.jpg,93,26,247,308,170.0,167.0,154,282
datasets/train/frame250_jpg.rf.023be9726e3031bbef2fdfc98a93b975.jpg,330,0,567,401,448.5,200.5,237,401
datasets/train/frame530_jpg.rf.0826378d640013aa594d4e1629d8a761.jpg,133,92,393,564,263.0,328.0,260,472
datasets/train/frame406_jpg.rf.00c72303e843469623c89ae19630b532.jpg,56,315,196,603,126.0,459.0,140,288
datasets/train/frame247_jpg.rf.217a35a5943990acba501faaaea0cbea.jpg,314,0,553,384,433.5,192.0,239,384
datasets/train/frame238_jpg.rf.227ec6d544b8c919fb74f00480c21961.jpg,264,45,464,442,364.0,243.5,200,397
datasets/train/frame346_jpg.rf.1fde8acb06c91f17fa10790c3be48955.jpg,518,18,640,415,579.0,216.5,122,397
datasets/train/frame387_jpg.rf.21c72befda38bf66958f21b72f7fcb5c.jpg,232,206,381,477,306.5,341.5,149,271
datasets/train/frame375_jpg.rf.20fcc727af2850b28c24b7edbab0a581.jpg,152,168,327,492,239.5,330.0,175,324
datasets/train/frame332_jpg.rf.22c054d7777109815fa4e2d2a1cd961d.jpg,238,0,520,449,379.0,224.5,282,449
datasets/train/frame298_jpg.rf.242dccfbc35f0f2462a0d01b3f425134.jpg,329,154,615,640,472.0,397.0,286,486
datasets/train/frame370_jpg.rf.26af27643220558516e4b000d0be9f71.jpg,149,243,339,567,244.0,405.0,190,324
datasets/train/frame516_jpg.rf.1e8036da8bbfe1cbd95b0b683e7ed327.jpg,164,125,371,504,267.5,314.5,207,379
datasets/train/frame356_jpg.rf.2bce3521080bef5ac37b5ee622cee6c8.jpg,395,330,593,640,494.0,485.0,198,310
datasets/train/frame6_jpg.rf.1ecfab3cdabb853e727003f76cadf180.jpg,289,4,499,416,394.0,210.0,210,412
datasets/train/frame55_jpg.rf.2aa143b7c0f9d4559460e9eba73e4320.jpg,289,117,452,502,370.5,309.5,163,385
datasets/train/frame313_jpg.rf.1b232f9ddc071893d5a9c685be050745.jpg,204,81,496,594,350.0,337.5,292,513
datasets/train/frame368_jpg.rf.24832ced72c481a869eb3119f648637b.jpg,146,263,331,577,238.5,420.0,185,314
datasets/train/frame537_jpg.rf.1da60afe6c76322098a1b5e9c3aa0beb.jpg,109,66,413,575,261.0,320.5,304,509
datasets/train/frame551_jpg.rf.26dbc645a3a5f3f08abde36eba4537c8.jpg,68,62,405,640,236.5,351.0,337,578
datasets/train/frame319_jpg.rf.2ac23689a2c31d8d87f5574c49ab68cf.jpg,232,18,507,518,369.5,268.0,275,500
datasets/train/frame525_jpg.rf.2bd3e57c27efa3bd39dd7387eb4ae1ad.jpg,152,123,382,557,267.0,340.0,230,434
datasets/train/frame100_jpg.rf.23e2e0871919867450c424e0fd83476e.jpg,170,86,332,422,251.0,254.0,162,336
datasets/train/frame62_jpg.rf.29105cb8e624b75a7a9b477393923572.jpg,275,87,457,538,366.0,312.5,182,451
datasets/train/frame234_jpg.rf.2452117aa33944fecfd5fbdc1315677b.jpg,227,75,415,429,321.0,252.0,188,354
datasets/train/frame522_jpg.rf.2c7108846173fb0d82c360a0efac1d89.jpg,150,127,392,540,271.0,333.5,242,413
